[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-10 17:05:11.506 [cefgetfile] INFO: [client] Config directory is ./h6
2026-02-10 17:05:11.506 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.6
2026-02-10 17:05:11.506 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/video/stream/content2
[cefgetfile] Start sending Interests
2026-02-10 17:05:12.132 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.133 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.133 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.133 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.133 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.134 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.136 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.136 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.137 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.137 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.137 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.137 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.138 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.138 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.138 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.139 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.139 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.139 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.139 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.143 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.143 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.143 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.145 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.145 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.146 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.147 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.147 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.147 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.148 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.148 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.148 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.152 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.152 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.153 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.155 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.156 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:12.156 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
